"Date","Open","High","Low","Close","Adj Close","Volume"
"2021-06-14","3.55","3.55","3.53","3.54","3.402463","1600"
"2021-06-15","3.353","3.353","3.35","3.35","3.219845","2600"
"2021-06-16","3.66","3.72","3.57","3.72","3.57547","12200"
"2021-06-17","3.608","3.608","3.608","3.608","3.467821","400"
"2021-06-18","3.598","3.598","3.598","3.598","3.45821","2400"
"2021-06-23","3.68","3.8","3.68","3.8","3.652361","1900"
"2021-06-24","3.683","3.683","3.683","3.683","3.539907","200"
"2021-06-25","3.74","3.74","3.74","3.74","3.594693","100"
"2021-06-28","3.68","3.68","3.68","3.68","3.537024","31500"
"2021-06-29","3.658","3.66","3.658","3.66","3.517801","1100"
"2021-06-30","3.73","3.73","3.73","3.73","3.585081","600"
"2021-07-01","3.688","3.688","3.688","3.688","3.544713","800"
"2021-07-02","3.6","3.6","3.6","3.6","3.460132","2600"
"2021-07-06","3.628","3.628","3.628","3.628","3.487044","200"
"2021-07-07","3.638","3.638","3.638","3.638","3.496656","200"
"2021-07-08","3.548","3.548","3.353","3.353","3.222728","300"
"2021-07-09","3.688","3.688","3.666","3.666","3.523568","1000"
"2021-07-12","3.573","3.59","3.573","3.59","3.450521","1700"
"2021-07-13","3.41","3.41","3.41","3.41","3.277514","200"
"2021-07-14","3.48","3.49","3.39","3.39","3.258291","4000"
"2021-07-15","3.33","3.33","3.33","3.33","3.200622","400"
"2021-07-16","3.36","3.43","3.3","3.43","3.296737","4900"
"2021-07-19","3.43","3.43","3.232","3.325","3.195817","2600"
"2021-07-20","3.371","3.38","3.29","3.38","3.248679","1000"
"2021-07-21","3.438","3.438","3.259","3.259","3.13238","600"
"2021-07-22","3.293","3.64","3.29","3.465","3.330377","1300"
"2021-07-23","3.233","3.43","3.23","3.43","3.296737","2400"
"2021-07-26","3.358","3.358","3.255","3.35","3.219845","700"
"2021-07-29","3.558","3.558","3.558","3.558","3.419764","900"
"2021-07-30","3.708","3.708","3.708","3.708","3.563936","700"
"2021-08-02","3.63","3.7","3.55","3.55","3.412075","4800"
"2021-08-03","3.675","3.675","3.62","3.62","3.479355","2600"
"2021-08-04","3.72","3.72","3.635","3.635","3.493772","1300"
"2021-08-05","3.65","3.65","3.65","3.65","3.508189","200"
"2021-08-06","3.66","3.66","3.66","3.66","3.517801","200"
"2021-08-09","3.608","3.61","3.6","3.6","3.460132","2800"
"2021-08-10","3.58","3.58","3.475","3.475","3.339988","300"
"2021-08-12","3.66","3.66","3.66","3.66","3.517801","200"
"2021-08-13","3.47","3.471","3.47","3.471","3.336144","17400"
"2021-08-16","3.67","3.67","3.67","3.67","3.527413","5200"
"2021-08-17","3.649","3.649","3.649","3.649","3.507228","1600"
"2021-08-19","3.565","3.565","3.47","3.565","3.426492","5400"
"2021-08-23","3.848","3.85","3.848","3.85","3.700419","2200"
"2021-08-24","3.474","3.665","3.474","3.665","3.522607","3500"
"2021-08-25","3.665","3.665","3.665","3.665","3.522607","500"
"2021-08-26","3.625","3.625","3.51","3.51","3.373629","1800"
"2021-08-27","3.595","3.67","3.595","3.67","3.527413","9000"
"2021-08-31","3.751","3.751","3.751","3.751","3.605265","200"
"2021-09-01","3.62","3.62","3.612","3.612","3.471666","1700"
"2021-09-02","3.818","3.818","3.818","3.818","3.669662","200"
"2021-09-03","3.573","3.8","3.57","3.57","3.431298","600"
"2021-09-08","3.605","3.605","3.605","3.605","3.464938","5200"
"2021-09-10","3.85","3.85","3.85","3.85","3.700419","100"
"2021-09-13","3.64","3.868","3.64","3.868","3.71772","3100"
"2021-09-14","3.961","3.963","3.961","3.963","3.809029","900"
"2021-09-15","4.1","4.17","4.1","4.17","4.007987","1600"
"2021-09-16","4.238","4.238","4.11","4.11","3.950317","2900"
"2021-09-17","4.043","4.043","4.04","4.04","3.883037","1200"
"2021-09-20","4.05","4.095","4.05","4.095","3.9359","1300"
"2021-09-21","4.32","4.32","4.185","4.185","4.022403","400"
"2021-09-22","4.19","4.27","4.19","4.27","4.104101","9700"
"2021-09-23","4.135","4.26","4.135","4.26","4.09449","500"
"2021-09-24","4.105","4.191","4.105","4.191","4.02817","1800"
"2021-09-27","4.12","4.12","4.118","4.118","3.958006","600"
"2021-09-28","3.933","4.19","3.933","4.19","4.027209","2000"
"2021-09-30","4.06","4.19","4.06","4.19","4.027209","2200"
"2021-10-01","4.02","4.02","4.02","4.02","3.863814","300"
"2021-10-06","3.985","3.985","3.985","3.985","3.830174","400"
"2021-10-07","3.94","4.108","3.873","3.873","3.722525","1100"
"2021-10-08","4.19","4.19","4.19","4.19","4.027209","300"
